size,Triton,Torch
4096.0,9.6,9.6
8192.0,19.2,19.2
16384.0,32.9,35.8
32768.0,64.0,64.0
65536.0,96.0,96.0
131072.0,139.6,139.6
262144.0,179.4,172.8
524288.0,192.0,170.7
1048576.0,211.9,215.6
2097152.0,225.5,227.6
4194304.0,236.3,236.3
8388608.0,244.4,243.9
16777216.0,248.8,248.6
33554432.0,250.9,250.8
67108864.0,252.1,252.1
134217728.0,252.6,252.9
